epoch 272, seq 500/500, tr loss 0.043673 te loss 0.044129 lr: 0.000763 
epoch 274, seq 500/500, tr loss 0.043518 te loss 0.044027 lr: 0.000761 
epoch 276, seq 500/500, tr loss 0.043359 te loss 0.043923 lr: 0.000759 
epoch 278, seq 500/500, tr loss 0.043197 te loss 0.043815 lr: 0.000758 
epoch 280, seq 500/500, tr loss 0.043032 te loss 0.043703 lr: 0.000756 
epoch 282, seq 500/500, tr loss 0.042863 te loss 0.043589 lr: 0.000755 
epoch 284, seq 500/500, tr loss 0.042691 te loss 0.043470 lr: 0.000753 
epoch 286, seq 500/500, tr loss 0.042516 te loss 0.043348 lr: 0.000752 
epoch 288, seq 500/500, tr loss 0.042337 te loss 0.043222 lr: 0.000750 
epoch 290, seq 500/500, tr loss 0.042156 te loss 0.043091 lr: 0.000749 
epoch 292, seq 500/500, tr loss 0.041971 te loss 0.042957 lr: 0.000747 
epoch 294, seq 500/500, tr loss 0.041783 te loss 0.042818 lr: 0.000746 
epoch 296, seq 500/500, tr loss 0.041593 te loss 0.042675 lr: 0.000744 
epoch 298, seq 500/500, tr loss 0.041400 te loss 0.042528 lr: 0.000743 
epoch 300, seq 500/500, tr loss 0.041204 te loss 0.042376 lr: 0.000741 
epoch 302, seq 500/500, tr loss 0.041007 te loss 0.042220 lr: 0.000740 
epoch 304, seq 500/500, tr loss 0.040807 te loss 0.042059 lr: 0.000738 
epoch 306, seq 500/500, tr loss 0.040606 te loss 0.041895 lr: 0.000737 
epoch 308, seq 500/500, tr loss 0.040403 te loss 0.041726 lr: 0.000736 
epoch 310, seq 500/500, tr loss 0.040200 te loss 0.041553 lr: 0.000734 
epoch 312, seq 500/500, tr loss 0.039996 te loss 0.041377 lr: 0.000733 
epoch 314, seq 500/500, tr loss 0.039792 te loss 0.041198 lr: 0.000731 
epoch 316, seq 500/500, tr loss 0.039588 te loss 0.041015 lr: 0.000730 
epoch 318, seq 500/500, tr loss 0.039384 te loss 0.040830 lr: 0.000728 
epoch 320, seq 500/500, tr loss 0.039182 te loss 0.040643 lr: 0.000727 
epoch 322, seq 500/500, tr loss 0.038980 te loss 0.040455 lr: 0.000725 
